VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-10 07:37:26,2016-03-10 07:47:48,5,0.87,-73.98959350585938,40.75741958618164,1,N,-73.97722625732422,40.756141662597656,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0
2,2016-03-10 07:38:54,2016-03-10 07:45:54,1,1.04,-73.9404067993164,40.79351043701172,1,N,-73.952392578125,40.78982162475586,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-03-10 07:39:19,2016-03-10 07:46:49,5,1.3,-73.96154022216798,40.76853942871094,1,N,-73.94994354248048,40.78466033935546,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
2,2016-03-10 07:39:44,2016-03-10 07:44:07,1,0.8,-73.9784164428711,40.74837112426758,1,N,-73.97360229492188,40.75762939453125,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,2016-03-10 07:39:49,2016-03-10 07:45:43,3,0.86,-73.99496459960938,40.74093246459961,1,N,-74.0063247680664,40.740665435791016,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,2016-03-10 07:40:09,2016-03-10 07:54:55,3,3.08,-73.96537780761719,40.7593002319336,1,N,-73.9805908203125,40.724891662597656,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56
2,2016-03-10 07:40:37,2016-03-10 07:46:59,5,1.37,-73.97821807861328,40.7730827331543,1,N,-73.96306610107422,40.776660919189446,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2016-03-10 07:41:50,2016-03-10 07:51:57,2,1.44,-73.95266723632812,40.78643035888672,1,N,-73.96062469482422,40.76968002319336,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-03-10 07:42:01,2016-03-10 07:46:39,2,0.76,-73.95121002197266,40.77027893066406,1,N,-73.96122741699219,40.77499008178711,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,2016-03-10 07:42:30,2016-03-10 08:13:00,2,3.7,-73.93988800048828,40.79412841796875,1,N,-73.98365020751953,40.7746696472168,1,20.0,0.0,0.5,4.16,0.0,0.3,24.96
2,2016-03-10 07:42:44,2016-03-10 08:29:36,2,11.27,-73.8626708984375,40.769020080566406,1,N,-74.00050354003906,40.731441497802734,1,38.0,0.0,0.5,11.08,5.54,0.3,55.42
2,2016-03-10 07:43:10,2016-03-10 07:47:13,1,0.86,-73.97862243652342,40.724388122558594,1,N,-73.98798370361328,40.719032287597656,1,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2,2016-03-10 07:43:14,2016-03-10 07:52:34,1,1.39,-73.98856353759764,40.77421569824219,1,N,-73.98545074462889,40.760292053222656,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,2016-03-10 07:43:17,2016-03-10 07:59:17,5,2.65,-73.96331787109375,40.76617431640625,1,N,-73.96558380126953,40.79046630859375,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3
2,2016-03-10 07:43:21,2016-03-10 07:55:30,2,1.95,-73.98056793212889,40.77521896362305,1,N,-73.98185729980467,40.75252914428711,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
